titre,objet,mot_cle
ASSOCIATION GYMNASTIQUE ENTRETIEN D'AGEN D'AVEYRON  AGEA,"pratique de la gymnastique d'entretien, activités de pleine nature, aquatiques, vélo, randonnées",agen
COOPERATIVE SCOLAIRE USEP DE L'ECOLE  DE TREMOUILLES,"former à la responsabilité, au civisme et à l'autonomie par la pratique d'activités physiques et sportives de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
LES AMIS DU CLOCHER AGENTOL,réparation et entretien de l'Eglise d'AGEN D'AVEYRON,agen
ASSOCIATION DES PARENTS D'ELEVES ECOLE PUBLIQUE DE BOZOULS,apporter un soutien moral et matériel à l'école publique et resserrer les liens d'amitié et de solidarité entre les parents,ecole
ASSOCIATION DES GRADZARTS DE LA PROMO BO 194-197,maintenir les relations entre ses membres ; conserver la cohésion du groupe afin de venir en aide à ses membres ; apporter un soutien moral et financier en cas de besoin aux membres de l'association ; promouvoir l'Ecole nationale supérieure d'arts et métiers (E.N.S.A.M) ainsi que le monde des Gadz'arts ; perpétuer l'esprit des traditions au sein des promotions nouvelles ; défendre l'idéal gadzarique qui est celui de la fraternité,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DE SAINTE GENEVIEVE SUR AGENCE,"A pour but de proposer aux parents d'élèves de l'ecole publique de Sainte Genevieve, ainsi qu'à leur proches, des animations festives ou culturelles (ex:kermesses, spectacles, lotus, tombola's, vide greniers, bourses aux livres, goûters...) et de mettre en relation des intervenants extérieurs avec l'association.",ecole
TERIMA KASIH,aider les derniers paludiers de Bali à pérenniser leur métier unique de production de fleur de sel  ; qu'ils puissent vendre leur production à un prix équitable en fabricant avec eux des coffrets souvenir par des artisans et en matériaux locaux destinés à un tourisme responsable,bali
CLUB CANIN DU PAYS RUTHENOIS,de conseiller et de guider ses adhérents dans l'éducation de leurs chiens pour que ceux-ci s'intègrent bien dans l'environnement social et  d'assurer la promotion et la bonne pratique des activités canines reconnues par la société centrale canine pour permettre le développement des aptitudes des différentes races afin que les chiens soient mieux en mesure de participer aux épreuves et concours organisés par la société centrale canine et ses membres,guider
LES AMIS DE MANGA,"actions humanitaires forages, écoles, santé",manga
INSTITUT COOPERATIF DE L'ECOLE MODERNE AVEYRONNAIS ICEM 12,centraliser toutes les tentatives pédagogiques modernes pour en répandre les procédés et les résultats et en favoriser le développement dans le travail scolaire,ecole
JEUNES CARDIAQUES HOSPITALISES,aider les familles d'enfants cardiaques hospitalisés en Midi-Pyrénéees,midi
M.A.M ASSO,"prodiguer des massages assis de bien être et de confort, non médicaux, pouvant y associer d'autres pratiques non médicales tendant au mieux être des individus",asso
"REGROUPEMENT D'ASSOCIATIONS,D'ETABLISSEMENT ET DE SERVICES SANITAIRES,SOCIAUX ET MEDICAUX SOCIAUX POUR L'AMELIORATION DE LA PRISE EN CHARGE DE LA PERSONNE HUMAINE TOUT AU LONG DE SA VIE",proposer la continuité de la prise en charge des personnes en situation de fragilité ; créer des modes de prise en charge globalisés et originaux pour ces publics ; optimiser les modes de prise en charge en maillant le territoire ; pérenniser l'activité de ses membres ; mutualiser les moyens et les partenariats avec des établissements et services privés non lucratifs et publics ;  promouvoir les activités de l'association ; aider les associations adhérentes à remplir l'objet défini dans leurs statuts respectifs ; accompagner dans leur gestion les structures adhérentes ; répondre aux appels à projet des pouvoirs publics,long
BASKET CLUB ENTRAYGUES,evolution d'une équipe séniors féminine dans le championnat de basket aloa,aloa
LE PONT,favoriser les échanges culturels franco-chinois ; favoriser le maintien en bonne santé par la pratique du DAO YIN YANG SHENG GONG,yang
ABOUT WEST,"promouvoir et mettre en valeur les traditions, la culture,  diverses activités  de l'univers américain (d'hier et d'aujourd'hui) ; promotion de la musique, des danses, de l'histoire, des reconstitutions, spectacles, animations ainsi que toute organisation de soirées et événements divers ayant trait à l'univers américain ; cette action se place en dehors de toute appartenance politique, syndicale ou religieuse",about
ABOUT WEST,"promouvoir et mettre en valeur les traditions, la culture, des activités (culturelles, artistiques...) de l'univers américain (d'hier et d'aujourd'hui) ; musiques et danses, histoire, reconstitution, spectacle ou toutes autres soirées, animations et événements divers ayant trait à l'univers américain",about
ONET TWIRLING BATON,initier les jeunes à la pratique du twirling bâton de façon ludique et soprtive,baton
"ASSOCIATION POUR LA DECOUVERTE, L'ECHANGE ET LA CULTURE","permettre aux habitants de la commune d'Agen d'avoir sur place accès à une vie culturelle diversifiée, par l'organisation de conférences sur les problèmes de sociétés ; créer des occasions de rencontre ; créer un lieu de rencontre et d'activités pour les enfants et les jeunes ; monter une équipe de bénévoles pour donner un coup de pouce aux jeunes en difficulté scolaire",agen
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE ST AMANS DES COTS,"pratique d'activités physiques , sportives et socioculturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION DES PRESIDENTS DE CLUBS DE L'AVEYRON FOOTBALL - APAF,"fédérer l'ensemble des clubs de football de l'Aveyron pour être une force constructive pour dialoguer, discuter, expliquer, échanger et faire admettre un certain nombre de points aux instances officielles : district de foot de l'Aveyron, ligue Midi-Pyrénées, Conseil Général",midi
URARTU,"permettre à toute personne arménienne et résidant dans la région Midi-Pyrénées de retrouver ses racines culturelles, linguistiques et humaines ; de les développer en les enrichissant ; de les faire connaître afin que la Diaspora arménienne reste attachée à ses traditions profondes ; permettre à toute personne intéressée par la culture et les traditions arméniennes de participer de façon active à leur développement et à leur rayonnement ; dans le cadre humanitaire, apporter une aide à l'amélioration du sort de l'enfance malheureuse de la région Midi-Pyrénées et d'Arménie par l'organisation de manifestations culturelles ou festives produisant les fonds nécessaires et plus généralement d'apporter une aide financière contribuant à l'essor économique et social des régions les défavorisées d'Arménie ; conseiller, orienter ou aider toute personne qui en fait la demande dans la mesure du possible",midi
PIC'ASSO,réaliser des projets pédagogiques ; proposer un cadre législatif et financier aux actions menées ; offrir une visibilité à des actions socioculturelles censées faire vivre nos territoires locaux et ruraux ; aider les apprenants en BTS agricole à faire vivre leurs initiatives,asso
USEP ECOLE DE PRADINAS,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques sportives de pleine nature, d'activités socio-culturelle dans le cadre d'un fonctionnement démocratique",ecole
LES FILMS DU COIN,"soutenir la création, la diffusion et la promotion de l'art audiovisuel dans la région Midi Pyrénées",midi
FOOTBALL CLUB AGEN GAGES,promouvoir la pratique et le développement du football,agen
ASSOCIATION DES MEDECINS POUR LES GARDES DE LA REGION RUTHENOISE A.M.G.A.R.R.,organisation de la permanence des soins ambulatoires sur la région Ruthénoise selon le secteur défini par l'agence régionale de santé de Midi-pyrénées,midi
ARABESQUE,promouvoir la danse en région Midi Pyrénées,midi
ASSOCIATION JEUNESSE ET CULTURE,"aménager dans le cadre communal un centre éducatif ouvert à tous les membres de la communauté (enfants, adolescents, adultes)",ouvert
ATOUT PRO,"réunir des travailleurs indépendants dans un même local afin de bénéficier de services communs, ayant le projet de faire l'activité économique du canton, avec un hall d'exposition",atout
ASSOCIATION USEP ECOLE DE CARCENAC,"former à la responsabilité des élèves, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, grâce à son affiliation à l'USEP et à sa participation aux rencontres, épreuves et manifestations organisées ou contrôlées par l'USEP",ecole
GROUPEMENT AVEYRONNAIS DE RECHERCHE AU SANG,promouvoir la recherche du grand gibier blessé conformément aux dispositions législatives et réglementaires,sang
SAUVEGARDE DES BOUTETS,"préserver le patrimoine bati, le cadre de vie, l'environnement, le paysage, l'agriculture et lutter contre le mitage et l'urbanisation du hameau les Boutets (12330), de l'ensemble de la commune de Mûret-le-château et des communes limitrophes",bati
MAM CLEMENTINE-GRIOTTE,"héberger en son siège la maison d'assistantes maternelles Clémentine-Griotte ; permettre, grâce au compte bancaire ouvert en son nom, de régler les factures liées aux dépenses de la maison d'assistantes maternelles",ouvert
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE CANTOIN,embauche d'une aide maternelle,ecole
MAYA KO DAGHO,contribuer à promouvoir un développement humain équitable du peuple népalais ; exprimer sa solidarité avec les populations organisées agissant pour l'amélioration de leurs conditions de vie et un échange de savoir faire,maya
ASSOCIATION PARENTS  D'ELEVES ECOLE PRIMAIRE SAINT AMANS DES COTS,dynamiser la vie scolaire et périscolaire des enfants,ecole
OGEC ECOLE SAINT PAUL,gestion matérielle de la classe enfantine de l'institut Saint Paul,saint paul
COMITE DE DEVELOPPEMENT AGRICOLE DU NORD-AVEYRON,"rechercher toutes les possibilités de développement agricole de la région du nord-Aveyron ; informer mutuellement les organisations professionnelles agricoles de la région nord Aveyron de leurs but, projets et programmes respectifs, de leurs objectifs à court, moyen et long terme",long
A.P.E ST-CYPRIEN-SUR-DOURDOU (ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE ST-CYPRIEN-SUR-DOURDOU),soutenir activement les projets et les actions des enseignants ; organiser des manifestations à thèmes autour de l'école pour favoriser les temps d'échange conviviaux enfants et adultes ; organiser des évènements afin de récolter des fonds pour la réalisation desdits projets,ecole
ENTRE CIEL ET TERRE,promouvoir et faire connaître Hildegarde de Bingen,bingen
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE DE CURIERES,développer les activités extra-scolaires et créer une garderie,ecole
L'ELAN DE MAIN D'HIER,"créer des évènements afin de promouvoir et revaloriser des savoirs intemporels sous forme de chantiers-démonstration (artisans professionnels, restauration du patrimoine...) de camp de vie (fête médiévale...) d'expositions, vente d'artisanat ou d'art, de spectacles, d'ateliers-découverte et formations associées aux activités",main
LA CAYROUSE,"faire vivre le lieu-dit ""La Cayrouse"" à travers l'organisation d'événements simples et divers (allant du repas de famille au petit festival : vacances collectives, cinéma de plein air, rassemblements de motards, travaux collectifs, stages de rugby, etc.), et notamment d'activités collectives ; améliorer continuellement le lieu, le développer durablement ; construire un collectif convivial dans lequel chaque membre trouve sa place, y est respecté, peut porter des initiatives ; faire jouer et susciter le jeu à toutes occasions ; permettre aux membres de disposer d'un lieu agréable et ouvert au plus grand nombre (invités, amis, familles, enfants, adultes, etc.)",ouvert
LE CINEMA S'EXPOSE 12 - 1ÈRE,"toutes activités artistiques (théâtre, cinéma, cirque, télévision, radio, spectacle...) la production et l'exploitation de films, de spectacles, et de toutes oeuvres artistiques, d'événements de tous genres, la sauvegarde et la valorisation de notre patrimoine télévisuel, théâtral, cinématographique, radiophonique, tout ce qui est lié de près ou de loin au monde artistique et patrimonial",loin
